sasdate,RPI_value,W875RX1_value,DPCERA3M086SBEA_value,CMRMTSPLx_value,RETAILx_value,INDPRO_value,IPFPNSS_value,IPFINAL_value,IPCONGD_value,IPDCONGD_value,IPNCONGD_value,IPBUSEQ_value,IPMAT_value,IPDMAT_value,IPNMAT_value,IPMANSICS_value,IPB51222S_value,IPFUELS_value,CUMFNS_value,CLF16OV_value,CE16OV_value,UNRATE_value,UEMPMEAN_value,UEMPLT5_value,UEMP5TO14_value,UEMP15OV_value,UEMP15T26_value,UEMP27OV_value,CLAIMSx_value,PAYEMS_value,USGOOD_value,CES1021000001_value,USCONS_value,MANEMP_value,DMANEMP_value,NDMANEMP_value,SRVPRD_value,USTPU_value,USWTRADE_value,USTRADE_value,USFIRE_value,USGOVT_value,CES0600000007_value,AWOTMAN_value,AWHMAN_value,HOUST_value,HOUSTNE_value,HOUSTMW_value,HOUSTS_value,HOUSTW_value,PERMIT_value,PERMITNE_value,PERMITMW_value,PERMITS_value,PERMITW_value,ACOGNO_value,AMDMNOx_value,ANDENOx_value,AMDMUOx_value,BUSINVx_value,ISRATIOx_value,M1SL_value,M2SL_value,M2REAL_value,AMBSL_value,TOTRESNS_value,NONBORRES_value,BUSLOANS_value,REALLN_value,NONREVSL_value,CONSPI_value,S&P 500_value,S&P: indust_value,S&P div yield_value,S&P PE ratio_value,FEDFUNDS_value,CP3Mx_value,TB3MS_value,TB6MS_value,GS1_value,GS5_value,GS10_value,AAA_value,BAA_value,COMPAPFFx_value,TB3SMFFM_value,TB6SMFFM_value,T1YFFM_value,T5YFFM_value,T10YFFM_value,AAAFFM_value,BAAFFM_value,TWEXMMTH_value,EXSZUSx_value,EXJPUSx_value,EXUSUKx_value,EXCAUSx_value,PPIFGS_value,PPIFCG_value,PPIITM_value,PPICRM_value,OILPRICEx_value,PPICMM_value,CPIAUCSL_value,CPIAPPSL_value,CPITRNSL_value,CPIMEDSL_value,CUSR0000SAC_value,CUSR0000SAD_value,CUSR0000SAS_value,CPIULFSL_value,CUSR0000SA0L2_value,CUSR0000SA0L5_value,PCEPI_value,DDURRG3M086SBEA_value,DNDGRG3M086SBEA_value,DSERRG3M086SBEA_value,CES0600000008_value,CES2000000008_value,CES3000000008_value,UMCSENTx_value,MZMSL_value,DTCOLNVHFNM_value,DTCTHFNM_value,INVEST_value,VXOCLSx_value
2014-12-01,13730.41513306509,11382.895077119323,113.46498301622944,1200061.1632935754,452582.8585769131,107.22234151823996,100.75535310628808,103.2986280527364,100.07634526889382,106.726080344965,98.6296018355498,110.78206148906962,115.42542453905948,119.62451281019156,92.43951408956842,102.81758146052418,106.62142126672065,114.9576598774867,78.6504463604221,156558.32527069506,147502.70347425877,5.759991615946156,33.10504149516151,2517.6014960162784,2368.500896356633,4218.3722397084475,1413.3717608392535,2805.704186668091,295.21686638010954,140299.52580961803,19270.979345245534,869.8496238861475,6115.479966936667,12229.970041012555,7749.81799189504,4480.319946914756,121049.45477394645,26683.841738033683,5902.73693321829,15533.11205562139,8025.263558106182,21956.305011947792,40.31589709633485,4.538020186630681,40.82703704156854,1086.0365463082524,135.38801097509267,208.3888294926456,479.6395013672082,245.72321219101752,1020.0696021499854,134.9523027162607,194.50352890758617,423.4381197064678,246.79351028497535,208901.82924530873,245390.05701189392,84166.41741510348,1183998.4387439378,1770166.678207348,1.2945644160710796,2847.8456967531524,11607.902559311367,4881.925618244985,3654.8406312633138,2384.2900505056164,2407031.8491261615,1779.255426130509,3618.4027967090337,2409.458758968585,0.1611500106015888,2075.673608665126,2752.3658144174956,1.9072432340660908,19.756703874042795,0.1419436290093562,0.1885088361337977,0.0849099998755266,0.1360880370430769,0.2001559383861689,1.6783337174982875,2.372506889592749,3.932155435423499,4.768837996201194,0.1421847868344317,-0.3214687874577853,-0.1633382624426946,0.2439366398467724,1.2839432610596837,1.8458244651173468,2.8118786420597788,3.831525314648472,82.62582390481444,0.9607982919712283,116.104045622949,1.579191716999787,1.1304744419013133,198.13774970083745,211.1382205873876,197.61878407194237,234.01544862510957,68.4709090380671,198.44000455435335,236.5423009671599,125.21866692457802,206.64027310859643,441.3401025941494,184.55589501926593,108.22994232145982,287.976738005001,235.0618037000805,224.45291208285593,226.6532142795612,108.86471262629269,90.77660096516372,110.86014831777594,111.38812498014464,21.720223095313273,24.88036749798588,19.632600333878,89.32128736554638,12885.866004916032,327067.77441433596,870979.744285799,2885.8539049139476,16.709809882250042
2015-01-01,13768.218299186605,11415.563241415555,113.83661667729842,1206844.7829231543,456489.27113919106,107.91706867189826,101.35558728332694,103.92692252394568,100.57999541767828,107.9330353786714,98.93122272698022,111.85596454944108,116.2513520841179,120.87178504347474,93.0415261391559,103.56449336486445,106.68585429103187,115.21452126605868,79.0416407743133,156725.02916175756,147758.35005879175,5.6980969115945435,33.19097374984897,2502.5358633568753,2338.25443841348,4166.267956041798,1387.3113821084198,2781.435350150261,290.28430145470685,140601.1482381579,19304.206213470985,870.9727088618573,6127.134967452099,12251.541005909849,7767.40054221513,4484.54403054062,121337.3844638109,26745.561267665373,5915.367862620236,15572.589730713767,8038.869648522363,21979.03686213179,40.393479236496475,4.586312282257985,40.91025900899949,1088.576953132609,135.64573219544707,210.1236492088192,479.7898509011489,246.2152163487181,1021.4631829284702,135.1596875848307,195.78841969597124,423.1616069233388,246.9858161156847,211578.6871019066,249420.8499774174,85898.65017813933,1189876.2344494215,1781326.418116708,1.2872635971961053,2839.405192241152,11647.59968245088,4882.66832103991,3459.715657702519,2187.7681496693713,2160055.5769442944,1799.8089997594786,3620.623815949701,2423.710981981849,0.1611957338395485,2116.1062902391795,2806.8068085894834,1.8754489214479373,19.763268053504113,0.219400772498798,0.2746056625521495,0.1751515314182888,0.2280105483153733,0.2970008117760458,1.7563544845651555,2.4285478036890713,3.948347050464736,4.741074423885266,0.131945101274791,-0.2919127632512305,-0.1321225514445587,0.2873157666633762,1.3515739372402569,1.9160314555705944,2.8248779909124644,3.782087237407143,82.41529392387588,0.9570129419775052,115.96181105043806,1.5834988859936854,1.1273167083461049,197.4231727084241,210.06499818326836,196.28875007015705,233.32036685628972,62.41042995249418,201.50259181265096,236.23262219336377,123.89643537583125,203.8094707958269,443.2778687377578,183.26103673974805,107.45282632482994,288.6034099283296,234.6241118747079,223.75717581807547,226.2617693876743,108.7702972817846,90.17972205208568,110.12637050443476,111.6106935346046,21.730796732154005,24.897611282080184,19.638615158771085,89.9616783754817,12936.979734218095,328619.1733146813,873091.1915092412,2901.331427195336,15.15422611550136
2015-02-01,13811.444535027673,11453.091763880497,114.18969040342446,1212990.9498895097,459632.77386139263,108.58091267706938,101.92049009642358,104.52736191325909,101.05603765750269,109.07898942111144,99.21818918830952,112.89071800717302,117.05215869891305,121.98943591856212,93.60531227328416,104.25542157277528,106.81716749132366,115.59189960810652,79.3834506392106,156891.45416006065,148000.55705774226,5.645391777831322,33.27522581324598,2492.0382424646655,2312.8491169551767,4126.71856444605,1367.394573609574,2762.8110720134164,286.0339400358381,140886.44394084488,19333.708381715856,872.1010871427221,6137.868871274045,12270.4990877587,7783.208884104325,4487.9361134748015,121613.5355007907,26802.175640620673,5926.930051899643,15609.078021603082,8052.744201382599,22003.951856457858,40.37050956130803,4.627383067437665,40.88277574915021,1126.095341298501,139.35651002515328,218.311438550981,496.1189237688212,255.0764267727948,1054.9996779706862,138.7323395012512,202.67996134595975,436.0370897281169,256.93276330572746,213375.86877911183,253179.5105835417,87636.9564818203,1195907.259344183,1792057.9776278038,1.2827896298616563,2827.8785044470205,11683.100960679336,4887.598602923283,3274.267071096,1998.4194140802845,2028616.7019106569,1821.3506280451957,3623.5118967333706,2438.3944439658994,0.1612029397535843,2143.46083083782,2843.739487713659,1.8586353595842415,19.682285176286328,0.2754004946328342,0.346707200647018,0.2486244904268855,0.3047879377562539,0.3786723395089878,1.8197698295455784,2.47652107518688,3.9711120219100136,4.740958685799125,0.1455433420507967,-0.3207412769172236,-0.1591965519876812,0.2559735501459484,1.2637797620900506,1.7961501476085953,2.7189890261155507,3.687343181280075,82.4047412268695,0.9555554235260006,115.87878849731938,1.583894923985478,1.1272455018343666,196.64210280639497,208.90288786802657,194.90896505765065,231.95453470534204,56.61023895466788,204.54352261701348,235.87896339539589,122.61784091768448,200.86868372663088,445.21358710219255,181.904850115284,106.67519590975286,289.2252012624708,234.14230808244128,223.0113430826291,225.83448183656697,108.66505811609125,89.58116818947613,109.34814209036328,111.83554945465356,21.742039515788314,24.905920986872403,19.64837065551836,90.42281357195112,12982.06338881851,330593.24779637594,876238.3267992632,2916.9848932527566,16.293229617308505
2015-03-01,13855.341695290135,11491.31028827034,114.54706777318552,1219191.311494138,462810.3027962228,109.24969708899742,102.49063624060682,105.1327043802583,101.53405433672984,110.23337199162614,99.50654102426216,113.9399576806918,117.85765425771076,123.12221205323534,94.1699290003904,104.95303002910843,106.9464553373994,115.9682342664356,79.72227090755045,157060.80451906778,148247.060680911,5.59185217041844,33.35190998468214,2481.835431401317,2287.8212154464895,4086.2297307015806,1347.6523582148031,2743.0020735467815,281.89044231670437,141176.2133835542,19364.25917914822,873.2571506683872,6149.385188990145,12289.75302895866,7799.314709366597,4491.337644991504,121893.28513272088,26859.59154010658,5938.70346920055,15646.000169009656,8066.964448529945,22029.372427458053,40.37403574005785,4.667857610044322,40.88544611910357,1143.0386856711311,141.05800871741857,222.0192649605661,503.03966230310255,259.50204205551506,1070.6592513968922,140.44194953319263,206.00809355588663,441.9565995165795,261.42944827204,215187.13218406952,256995.980936382,89409.43668276333,1202133.7496598028,1802938.2351308097,1.2783571803394909,2813.368954362895,11714.51562236146,4892.5258556838835,3098.1411568820376,1817.7042858364616,1906756.814421952,1843.9104313569549,3627.079256672329,2453.5072571186556,0.1612077092028555,2171.173476391697,2881.1010815663785,1.8420383559081537,19.59735576421619,0.3317526092558734,0.4190657423491988,0.3216554627317315,0.3811205679503343,0.459767069547614,1.8823464401061936,2.5237858405797775,3.9937872063816378,4.741303216779557,0.1423289214892906,-0.3263239347804489,-0.1653291267908778,0.2506646662111155,1.2403864773552051,1.7583448190833884,2.671481700291423,3.6301149558338146,82.39369564666846,0.9541312645465784,115.80402527630967,1.5843870593028218,1.1271628028701564,195.79560356160408,207.6536545110475,193.48027212132249,229.9313235951978,51.09760852129434,207.55528764064783,235.4818441692384,121.38132107956274,197.82384408212124,447.14715779030337,180.4892155287261,105.89684151244909,289.84216106278603,233.61687878532595,222.216243806767,225.37176392407144,108.54903716307784,88.98089893425467,108.52688511107286,112.06259744624958,21.753961578221652,24.905372674283345,19.661833213339943,90.87024913454616,13021.273223114766,332987.1263605563,880412.1326064592,2932.8111302625266,16.232132505437797
2015-04-01,13896.8467012245,11526.801091231728,114.9026054991341,1225030.2233038617,466046.3884870003,109.86328136902888,103.01798232087845,105.69039176957423,101.97424926675748,111.2759626217756,99.77793632203571,114.90816347938302,118.59133328518232,124.18027844081556,94.6841727129022,105.59758587846522,107.08349469412047,116.28463424667892,80.0176709018948,157234.385332232,148486.78985146,5.544870373907558,33.4214453595988,2472.496232115892,2266.408366596509,4051.051922119103,1330.3012549804744,2726.218548178756,278.32407662393854,141456.6421996931,19390.76901124971,874.2631905263265,6160.246764295182,12305.881798310083,7812.991900032639,4494.021644275806,122168.5661123716,26914.85729038772,5950.0111281564195,15681.742212406078,8081.141728378935,22055.427637637164,40.348074306621584,4.704042868494888,40.856048402165825,1167.6546208029629,143.5551243703916,226.6785848239932,513.1793787567359,266.4757919018085,1094.526379199289,143.05353323003064,210.57608973679888,451.37908341936026,268.2666770635076,217056.10930897796,260495.2485866098,90990.73503922152,1208294.6260194688,1813546.7531089103,1.2738852939430505,2796.2669586799766,11741.993497693746,4897.528058521698,2928.6743618202577,1645.548125255375,1802683.9037003396,1867.486776416305,3631.094592530624,2469.1755855314404,0.1612303579022414,2200.0498508779965,2920.1345421057313,1.8241400274505248,19.54883902668915,0.383535551922574,0.4822140975425416,0.3862248772128634,0.4479970700613938,0.5305971191653485,1.937789200965468,2.5649688901299466,4.011089112962377,4.734700163067622,0.1343576734406992,-0.3448425231312981,-0.1869280012259151,0.2259576030229549,1.1809310728482327,1.675284161977406,2.59112830728609,3.55665513091506,82.32812809255131,0.952020384384343,115.69405850412056,1.5855303280755364,1.1263791227583495,194.99543881450964,206.47235828236936,192.13218790202907,227.8921583020793,46.08779018987533,210.7192200860576,235.10334585846223,120.18970852355623,194.93315955241107,449.07757662979583,179.12143333377114,105.12101356243002,290.463754101013,233.1176047831616,221.45590549266325,224.9357995582762,108.44034749104236,88.38437927839152,107.73575978738478,112.2933762355774,21.766376481262704,24.896353189151608,19.678304776945353,91.29212359060348,13054.82139004839,335779.98478096206,885528.0282587773,2949.174368360033,16.48479268646137
2015-05-01,13938.726302623656,11562.568849980293,115.25918297083452,1230786.077063145,469259.4108369283,110.466953406108,103.53771110981002,106.2398634219822,102.40634348215848,112.2968504110323,100.0458905094404,115.86666602511166,119.312083214813,125.22339755300516,95.18627759053714,106.23181986612876,107.22577897126692,116.597944692488,80.29940922263269,157410.57190954624,148726.9117274316,5.499293455959204,33.4848804815253,2463.8273320615685,2246.201907089491,4017.164791701979,1313.9031509770723,2709.681699783873,274.9684418181321,141736.88084257662,19416.878886387454,875.2582197240753,6171.398649562095,12321.403491732985,7826.256796776265,4496.5137893677265,122444.399513774,26969.83532090223,5961.282221984934,15717.310252597828,8095.546979402952,22082.08126887716,40.34364394499175,4.7385205725906765,40.85011304099735,1186.084784615642,145.39419540869744,230.5763147197787,520.7863151777456,271.3531463007694,1111.690714386111,144.9103392798406,214.11341596797047,457.94594262326865,273.2492555963233,218879.1829053586,263945.3492173992,92553.64944311256,1214579.8389403848,1824168.1654850247,1.269641161283673,2776.7659174973087,11765.77974184622,4902.855469468837,2766.1159778785545,1483.2796744353825,1712598.1905111778,1892.0783968317976,3635.555349822824,2485.372114772456,0.1612520207752413,2228.40016775202,2958.4557600185353,1.8072410716552223,19.498185553490764,0.4330823700921373,0.5427486733482769,0.4476878287654429,0.5116987938977235,0.5980174055202935,1.9902929981095616,2.6039757164053463,4.027813095422347,4.729123462809483,0.1319003562156111,-0.3538813095351818,-0.196752518696772,0.2157357035545028,1.1489177578977756,1.6276306720890246,2.53908569299886,3.5007880117329964,82.26685803900986,0.9499747268926166,115.58695141200091,1.5865645740711625,1.1256855963890675,194.23195482087425,205.3452452891731,190.85124380677135,225.80081372511216,41.52762980132045,214.02074050355492,234.7387144947344,119.03973389612744,192.16980064232968,451.0053518726082,177.7921857846,104.34746825994654,291.0892347272328,232.6387479169364,220.7232272317083,224.52129981174588,108.3374494132625,87.791141765013,106.96861886048644,112.52759050355846,21.779278979994483,24.879308917259067,19.69766003265925,91.6875051949117,13083.060929949705,338958.4075502539,891550.9495738948,2966.0368893643904,16.57945477180201
2015-06-01,13981.110346464708,11598.668492073804,115.6143846726465,1236369.3362496928,472384.79768173833,111.05302882638924,104.0426867476503,106.7742823435864,102.824850004758,113.28050171854127,100.30769344411368,116.80320077125566,120.01143585562735,126.23205917078164,95.669095487218,106.84579730485886,107.37958994725678,116.9134995916928,80.5609500905262,157589.1059575759,148965.03492083694,5.456493088507306,33.54301435396929,2456.181045462393,2227.7362610952123,3986.0533054550074,1299.0250961216386,2694.265799640812,271.8911407040714,142014.08137181777,19441.787724603135,876.2260590559384,6182.5685625462265,12335.81883015588,7838.727903150226,4498.692901417079,122718.8382203931,27023.80548898951,5972.356534561278,15752.29538979141,8110.132983542991,22109.458086926872,40.33479119638518,4.770519723801495,40.83931046854603,1206.4417701795169,147.41554377228596,234.84329090554587,529.2636182749964,276.7132148669546,1130.623619116227,146.94554495119888,217.970961134922,465.2197817867111,278.788178561993,220584.47891848176,267286.161194017,94076.4838604145,1220961.1029142612,1834719.887151505,1.265835334207796,2755.1177964443054,11786.266260283552,4908.845653923479,2611.1159277303423,1332.149945654777,1640954.3344052918,1917.6523993058431,3640.474888657604,2502.022315194392,0.1612714867932255,2255.1153354919816,2994.5959348467945,1.7923763505982877,19.442152531941023,0.4783018826967201,0.5988347771427432,0.5041835187035762,0.5704183917290738,0.6601835127007373,2.0383425514243014,2.6398567982579415,4.044090193143834,4.7261316228168475,0.1305352844919656,-0.3654824338819139,-0.2091255886338082,0.2022390917233807,1.1101097488381209,1.5716937048592745,2.48193632466296,3.4430841646748656,82.22151727003016,0.9481167202695692,115.483096752022,1.5872119543822472,1.1252730554504096,193.47222540395512,204.22656957391283,189.59643513106283,223.5065425013274,37.34321997639544,217.40363333657925,234.3703952467173,117.92590335479235,189.45573579130465,452.931773164697,176.47040339641995,103.5755475830164,291.7157803089856,232.1599919443918,219.99354886338273,224.10977992699983,108.23496315035348,87.1997094674685,106.20449580904562,112.76450832079291,21.792673040624635,24.855035311511855,19.71975463086249,92.04308782732689,13106.555914728691,342497.5289861067,898422.5669213578,2983.2705605235133,16.794082243756648
2015-07-01,14023.441401809365,11634.5627889325,115.96926875683248,1241805.671127221,475481.3470111783,111.62069613417586,104.5330333001015,107.29299974050772,103.22977231257843,114.22523065875498,100.56348476999766,117.71575488429912,120.68732858470769,127.2112860892698,96.13284896738136,107.44057240347053,107.54062980327495,117.21948271897088,80.80387504003873,157770.04099548902,149201.51978368632,5.4161953776203005,33.59613794422417,2449.252043976557,2210.8214411539525,3957.161149466348,1285.3436971575272,2679.804504443184,269.0652106171568,142288.681950281,19465.486619224674,877.1567089344683,6193.7366781223855,12349.137100553691,7850.389107977089,4500.582114558171,122992.31158910622,27076.98121085879,5983.274728995797,15786.83044900209,8124.856266887984,22137.39999140783,40.32603253455274,4.800388038695502,40.828814828007026,1224.1725215108847,149.17811593474914,238.4953085113962,536.5948297363637,281.49471546567526,1147.282028377724,148.73853713331252,221.3344666960761,471.6403574488598,283.65123663400595,222240.33273327615,270518.7053581421,95546.65076213596,1227413.364831242,1845213.6641163577,1.262257447715594,2731.546425319898,11803.704832889043,4915.199030024683,2463.474988122794,1192.4290614421884,1581055.1223237752,1944.1992740051387,3645.8212936628993,2519.110093075684,0.1612926402077658,2281.2390820182036,3029.964075750109,1.7783754894224857,19.389165394941635,0.5204950674770886,0.6510007797619513,0.5565294164622828,0.6248047494162585,0.7177143910591016,2.0826939628669336,2.6729377103612775,4.059174581956431,4.723328147651579,0.1280016958367116,-0.3755407034425353,-0.2202018470040339,0.1901325450514324,1.0762951461484032,1.5228930325094503,2.431729426697591,3.392551068246155,82.17486330704546,0.9462414779126628,115.3758410081273,1.5877838968944786,1.1248827344840573,192.71862146281373,203.11950056253377,188.3687955976314,221.04400043676895,33.51929602747833,220.87088344798977,234.00015600672336,116.8456575914596,186.7945039121026,454.8573252802902,175.15856473862607,102.8054461453868,292.3435971536891,231.6829867251207,219.26873153897617,223.70251366638328,108.13326058422616,86.61025080181383,105.44522194037307,113.00400729595997,21.806529243845613,24.824039800613537,19.74438774142757,92.3715585819914,13125.67048200935,346382.46694527194,906100.9294483276,3000.873582851223,16.94315965716085
2015-08-01,14065.601003251251,11670.128757933766,116.323760370839,1247089.9667396597,478554.7602819559,112.16879310964474,105.0078805768458,107.79500192791122,103.62046140879468,115.12843746924632,100.81298664041589,118.60210583498542,121.33819214965482,128.15960537350827,96.57673056728092,108.0151123278612,107.70865166811836,117.51386044680712,81.02794695027278,157953.317470711,149436.1323839415,5.378489595744354,33.64453057231774,2443.001512830058,2195.4443069062804,3930.5058358591855,1272.8247544258809,2666.359216581358,266.48582091271044,142560.41513005891,19487.874375231484,878.0459003020695,6204.857949389141,12361.304672291137,7861.192601437822,4502.17431455502,123264.66033090316,27129.32202580705,5994.025794826746,15820.895390355265,8139.697351549006,22165.877792860734,40.31680316386512,4.828136256061834,40.81786679152573,1241.3413586753202,150.88181250380148,242.0090286410746,543.6865802776093,286.15892243951885,1163.4571566250138,150.47623732042848,224.58647161210024,477.8819956788041,288.3823833353154,223853.82584131885,273633.7825788274,96956.88005811388,1233925.75059955,1855641.1351176428,1.2588823490937362,2706.272410601893,11818.331121406374,4921.885432382529,2322.8908176850637,1064.0655624153642,1531342.4497469044,1971.7110257789368,3651.554263559042,2536.6274607499563,0.1613162337838978,2306.875743082617,3064.705393899649,1.7650856937426147,19.340739836456923,0.5597303054969712,0.6991776237001276,0.6047282773244275,0.6748300555920366,0.7705747740656137,2.1233775633547585,2.703209425597405,4.072922342086742,4.720345984707063,0.1253850606752837,-0.3854141456169453,-0.2311339053788689,0.1781048566459481,1.0433218170893328,1.4755131927179486,2.3833881006014037,3.344427128503344,82.12437636292941,0.9443171689123844,115.26367243842886,1.5883180098389078,1.124478378236782,191.9785856182347,202.0341710125498,187.1753198637863,218.4735909046059,30.04362620197678,224.43521609843745,233.6325867252466,115.79689057297357,184.2006486105025,456.7824006910802,173.8638512145886,102.03749436505218,292.97334083119085,231.21257826617156,218.55445757133415,223.30364812239296,108.03355738796128,86.02317350822075,104.69582383710028,113.2460549986711,21.820811744697235,24.786802551361745,19.771345243576757,92.67458431525662,13140.7463513356,350599.5055955874,914545.7214414136,3018.863089629174,17.09100145289655
2015-09-01,14107.796732295126,11705.58988648022,116.677866683767,1252241.1810448754,481595.15883473447,112.7007589752925,105.46979890156598,108.28325162627108,103.9992233577377,115.997022733657,101.05722014412136,119.46738883019012,121.9686292292661,129.08088906993405,97.00378814171576,108.57248990353168,107.88372503190902,117.80164417913322,81.23569025067424,158138.64831507634,149669.2059872432,5.343017409245601,33.688709879505915,2437.4030853788045,2181.392364603079,3905.827120383963,1261.3458440173251,2653.778673378187,264.1177716235113,142829.76660284324,19509.182979665908,878.9034881872408,6215.964383798696,12372.506362961996,7871.283554216023,4503.510584703207,123536.09710240432,27180.92868835707,6004.631515435085,15854.544928949768,8154.660955988943,22194.866556043813,40.3090962307762,4.853997509512185,40.80864070450225,1257.1653446067162,152.44570801579832,245.27893594807887,550.2301049540883,290.4317491207171,1178.3030512302616,152.06529052668824,227.58875953340257,483.5932847864081,292.7429479755293,225413.3622652576,276650.0212977092,98319.91926140986,1240505.334305487,1866018.9302028555,1.2557345935254056,2679.495277003494,11830.386484779792,4928.934788667338,2189.239027551529,946.8815756000796,1490875.8793157574,2000.1781527421872,3657.652494420961,2554.5521901501465,0.1613407918024849,2331.8270663133294,3098.547139908443,1.752709849892616,19.293828264246457,0.5961405383237443,0.7438666434966723,0.6492148463333924,0.7210080651123195,0.8193329887522051,2.160759579845364,2.731018583971869,4.085743593995624,4.717861820627024,0.1234294225146181,-0.3942407775251906,-0.2407962707228106,0.1675142829862227,1.0137864512348458,1.4329951927165998,2.339908711576115,3.3008642250338824,82.07524902557036,0.9424072297759912,115.14934371623686,1.5887392080648046,1.1241308191406796,191.2490652113277,200.96624267487363,186.01086992475751,215.7983257747722,26.889486799556696,228.09100090233636,233.26642324952377,114.7770633313732,181.66538600921777,458.7075462564871,172.58352251002265,101.27174366461544,293.60475298876304,230.7470209425344,217.84849939035917,222.91143253229455,107.93534682182666,85.43838739391488,103.95456052036764,113.49045923695483,21.83549960212089,24.743812717903133,19.800462796355777,92.95255664142378,13152.133917693933,355135.6866564252,923721.2921499332,3037.2197660632346,17.231419924529472
2015-10-01,14150.025462133395,11740.9452788895,117.03152500753302,1257262.2662837117,484602.3237011397,113.217036174896,105.91910485783627,108.7581166004293,104.36642943492096,116.83180371672798,101.29634807430128,120.31197949028474,122.57924385273805,129.97551255147457,97.41456143650136,109.11309264049538,108.06575760775578,118.08331361122394,81.4277788792438,158325.89314193104,149900.68913453212,5.30972201010318,33.729040002468594,2432.4262558900846,2168.5954353006587,3883.064882178966,1250.8537101103002,2642.058566637964,261.94800027403227,143096.71383640516,19529.422596803484,879.7300323874775,6227.0360315624675,12382.7688084622,7880.679437262304,4504.5998119494825,123806.57984029928,27231.805532130253,6015.091311256856,15887.782591585592,8169.73572776519,22224.33948733833,40.301580947523696,4.878054001303481,40.799683931372925,1272.1050969681698,153.91881443475378,248.3626815461267,556.4085257688866,294.4745089586559,1192.323415138467,153.56252558186688,230.42092134021152,488.9866603004992,296.87151410682145,226919.02298564665,279568.3775037641,99636.00056468965,1247147.2657119022,1876347.0358939648,1.2528078029248382,2651.404421921718,11840.103764920144,4936.340313798639,2062.372060519302,840.511969831232,1458710.8673579528,2029.59124023877,3664.095947621746,2572.8618104052653,0.1613662834774902,2356.083388217108,3131.477370685752,1.741226116242144,19.248351632313284,0.62980188525492,0.785183934153436,0.690128455592014,0.7634859695842816,0.8641499830515678,2.194975817642172,2.756472576678091,4.097687683585845,4.715882302510194,0.1216553126857411,-0.4026041311981312,-0.2499446514799095,0.1574484111959559,0.9859346083723928,1.3930160044092583,2.299276410364526,3.260417347647572,82.02771631613354,0.9405135730261424,115.03282688464353,1.589044026119708,1.1238423001000817,190.52660892615145,199.9108627423857,184.86997734558477,213.01869119948617,24.031225725685346,231.8315827439116,232.90014297304057,113.78376485936045,179.17944937030992,460.633308756072,171.31449064974038,100.5082389846894,294.23753161889874,230.28429655267416,217.1483167361148,222.5238764487517,107.83805156268336,84.85578655826008,103.21944148854764,113.73702714088108,21.85057294259559,24.69554540633263,19.831584360426685,93.2065986156791,13160.171570245226,359978.7841288696,933594.055817478,3055.922823821445,17.369276838200527
